"日期","收盘","开盘","高","低","百分比变化"
"2018年2月13日","6.3410","6.3281","6.3505","6.3240","0.21%"
"2018年2月12日","6.3275","6.2939","6.3328","6.2875","0.49%"
"2018年2月9日","6.2969","6.3252","6.3318","6.2932","-0.48%"
"2018年2月8日","6.3270","6.2899","6.3449","6.2854","0.92%"
"2018年2月7日","6.2694","6.2645","6.2703","6.2565","-0.22%"
"2018年2月6日","6.2832","6.2977","6.3010","6.2688","-0.11%"
"2018年2月5日","6.2900","6.3064","6.3097","6.2867","-0.18%"
"2018年2月2日","6.3014","6.2823","6.3041","6.2707","0.03%"
"2018年2月1日","6.2995","6.2956","6.3097","6.2885","0.17%"
"2018年1月31日","6.2888","6.3302","6.3353","6.2882","-0.56%"
"2018年1月30日","6.3239","6.3370","6.3477","6.3197","-0.21%"
"2018年1月29日","6.3374","6.3296","6.3398","6.3266","0.27%"
"2018年1月26日","6.3201","6.3261","6.3343","6.3118","-0.06%"
"2018年1月25日","6.3238","6.3579","6.3600","6.3185","-0.73%"
"2018年1月24日","6.3700","6.3970","6.4013","6.3696","-0.54%"
"2018年1月23日","6.4047","6.3948","6.4139","6.3948","-0.01%"
"2018年1月22日","6.4052","6.4102","6.4157","6.3998","0.02%"
"2018年1月19日","6.4040","6.4056","6.4112","6.3926","-0.25%"
"2018年1月18日","6.4203","6.4374","6.4437","6.4177","-0.22%"
"2018年1月17日","6.4343","6.4273","6.4404","6.4199","-0.15%"
"2018年1月16日","6.4440","6.4391","6.4477","6.4266","0.11%"
"2018年1月15日","6.4371","6.4521","6.4560","6.4189","-0.37%"
"2018年1月12日","6.4610","6.4886","6.4905","6.4536","-0.54%"
"2018年1月11日","6.4958","6.5133","6.5179","6.4916","-0.19%"
"2018年1月10日","6.5081","6.5328","6.5373","6.5031","-0.33%"
"2018年1月9日","6.5297","6.5069","6.5329","6.5011","0.46%"
"2018年1月8日","6.4997","6.4768","6.5015","6.4768","0.17%"
"2018年1月5日","6.4887","6.4813","6.4911","6.4794","-0.07%"
"2018年1月4日","6.4934","6.5034","6.5111","6.4927","-0.15%"
"2018年1月3日","6.5030","6.4970","6.5126","6.4970","0.15%"
"2018年1月2日","6.4934","6.4963","6.5054","6.4920","-0.20%"
"2018年1月1日","6.5066","6.5066","6.5066","6.5066","0.00%"
